Fecha ,Lote ,Origen,Variedad,Proceso,Beneficio ,Peso en Verde,Merma ,Peso en Tostado ,Perfil ,Temp. De inicio y final,Tiempo de tueste,Observaciones ,Tostador
22-4-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,96,16.67,80,Filtrados ,180°/193°,8:58,,LFQ
22-4-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,42,16.67,35,Filtrados ,175°/191°,8:14,,LFQ
22-4-24,20-130224 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3.6,16.67,3,Filtrados ,170°/190°,7:49,,LFQ
22-4-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,16.67,2.5,Filtrados ,170°/190°,7:49,,LFQ
22-4-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,12,16.67,10,Filtrados ,170°/190°,8:09,,LFQ
22-4-24,18-221223,Rioblanco,Caturra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,9:01,,LFQ
3-5-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,8:09,,LFQ
3-5-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,9,16.67,7.5,Filtrados ,180°/193°,8:58,,LFQ
3-5-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:14,,LFQ
6-5-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,192,16.67,160,Filtrados ,180°/193°,8:58,,LFQ
6-5-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,15,20.00,12,Filtrados ,175°/191°,8:14,,LFQ
6-5-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,175°/191°,8:03,,LFQ
17-5-24 ,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,175°/191°,8:16,,LFQ
17-5-24 ,02-220124,Jerico,Dos mil ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/191°,8:14,,LFQ
17-5-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,66,16.67,55,Filtrados ,180°/193°,8:58,,LFQ
17-5-24,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,16.67,2.5,Filtrados ,170°/190°,7:49,,LFQ
17-5-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,16.67,2.5,Filtrados ,170°/190°,7:49,,LFQ
17-5-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,6,16.67,5,Filtrados ,170°/190°,8:09,,LFQ
17-5-24,18-221223,Rioblanco,Caturra ,Lavado ,Lavado ,1.24,19.35,1,Filtrados ,170°/190°,9:01,,LFQ
17-5-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,1.24,19.35,1,Filtrados ,175°/191°,8:03,,LFQ
21-5-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,51,16.67,42.5,Filtrados ,180°/193°,8:58,,LFQ
21-5-24 ,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,6,16.67,5,Filtrados ,175°/191°,8:03,,LFQ
21-5-24 ,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,175°/191°,8:16,,LFQ
21-5-24,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
21-5-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
29-5-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:14,,LFQ
29-5-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,42,16.67,35,Filtrados ,180°/193°,8:58,,LFQ
29-5-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,9,16.67,7.5,Filtrados ,175°/191°,8:03,,LFQ
29-5-24,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,175°/191°,8:16,,LFQ
29-5-24,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
29-5-24,19-130224,Herrera ,Gesha ,Natural ,Natural ,3,20.00,2.4,Filtrados ,170°/190°,7:49,,LFQ
29-5-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,12,16.67,10,Filtrados ,170°/190°,8:09,,LFQ
5-6-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,57,16.67,47.5,Filtrados ,180°/193°,8:58,,LFQ
12-6-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,156,16.67,130,Filtrados ,180°/193°,8:58,,LFQ
12-6-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,9,16.67,7.5,Filtrados ,170°/190°,8:09,,LFQ
12-6-24,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,12,16.67,10,Filtrados ,170°/190°,9:01,,LFQ
12-6-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:03,,LFQ
18-6-24 ,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,102,16.67,85,Filtrados ,180°/193°,8:58,,LFQ
18-6-24 ,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,170°/190°,8:09,,LFQ
18-6-24,05-070424,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,170°/190°,9:01,,LFQ
18-6-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/191°,8:03,,LFQ
18-6-24,06-201023,Chaparral ,Pink Bourbon,Lavado ,Lavado ,12,16.67,10,Filtrados ,170°/190°,8:09,,LFQ
18-6-24,22-170624,Salento ,Caturron ,Natural ,Natural ,1.2,16.67,1,Filtrados ,175°/189°,8:01,,LFQ
20-6-24,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3.8,21.05,3,Filtrados ,170°/190°,7:49,,LFQ
20-6-24 ,22-170624,Salento ,Caturron ,Natural ,Natural ,2,15.00,1.7,Filtrados ,175°/189°,8:01,,LFQ
20-6-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:03,,LFQ
20-6-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,30,16.67,25,Filtrados ,180°/193°,8:58,,LFQ
4-7-24,01-030724,Jerico,Dos mil ,Tradicional,Lavado ,66,16.67,55,Filtrados ,180°/193°,8:58,,LFQ
4-7-24,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,8,18.75,6.5,Filtrados ,170°/190°,7:49,,LFQ
4-7-24,22-170624,Salento ,Caturron ,Natural ,Natural ,5.1,17.65,4.2,Filtrados ,175°/189°,8:01,,LFQ
4-7-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,6,16.67,5,Filtrados ,170°/190°,8:09,,LFQ
15-7-24 ,23-150724,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,175°/191°,8:21,,LFQ
15-7-24 ,20-140524 ,Acevedo ,Bourbon Sidra ,Lavado ,Lavado ,3,16.67,2.5,Filtrados ,170°/190°,7:49,,LFQ
15-7-24,22-170624,Salento ,Caturron ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/189°,8:01,,LFQ
15-7-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/191°,8:03,,LFQ
15-7-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,36,16.67,30,Filtrados ,180°/193°,8:58,,LFQ
15-7-24,08-140524,Jerico,Gesha ,Honey ,Honey ,2,15.00,1.7,Filtrado ,175°/191°,8:10,,LFQ 
15-7-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,170°/190°,8:09,,LFQ
24-7-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,42,16.67,35,Filtrados ,180°/193°,8:58,,LFQ
25-7-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:03,,LFQ
25-7-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,180°/193°,8:58,,LFQ
25-7-24,08-140524,Jerico,Gesha ,Honey ,Honey ,2,15.00,1.7,Filtrados ,175°/191°,8:10,,LFQ 
29-7-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,30,16.67,25,Filtrados ,180°/193°,8:58,,LFQ
29-7-24 ,08-140524,Jerico,Gesha ,Honey ,Honey ,1.6,15.00,1.36,Filtrados ,175°/191°,8:10,,LFQ 
31-7-24,17-270724,Quimbaya ,Red Bourbon ,Tradicional,Lavado ,3.2,15.63,2.7,Filtrados ,170°/189°,8:01,,LFQ
1-8-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,70,14.29,60,Filtrados ,180°/193°,8:58,,LFQ
1-8-24,08-140524,Jerico,Gesha ,Honey ,Honey ,3,16.67,2.5,Filtrados ,175°/191°,8:10,,LFQ 
1-8-24,17-270724,Quimbaya ,Red Bourbon ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,170°/189°,8:01,,LFQ
1-8-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/191°,8:03,,LFQ
6-8-24,17-270724,Quimbaya ,Red Bourbon ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,170°/189°,8:01,,LFQ
6-8-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Filtrados ,180°/193°,8:58,,LFQ
6-8-24,08-140524,Jerico,Gesha ,Honey ,Honey ,3,16.67,2.5,Filtrados ,175°/191°,8:10,,LFQ 
6-8-24,22-170624,Salento ,Caturron ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/189°,8:01,,LFQ
6-8-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,170°/190°,8:09,,LFQ
6-8-24,23-150724,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,175°/191°,8:21,,LFQ
13-8-24,02-220124,Jerico,Dos mil ,Natural ,Natural ,6,16.67,5,Filtrados ,175°/191°,8:03,,LFQ
13-8-24,17-270724,Quimbaya ,Red Bourbon ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,170°/189°,8:01,,LFQ
13-8-24,01-120424 ,Jerico,Dos mil ,Tradicional,Lavado ,54,16.67,45,Filtrados ,180°/193°,8:58,,LFQ
13-8-24,08-140524,Jerico,Gesha ,Honey ,Honey ,3,16.67,2.5,Filtrados ,175°/191°,8:10,,LFQ 
13-8-24,22-170624,Salento ,Caturron ,Natural ,Natural ,3,16.67,2.5,Filtrados ,175°/189°,8:01,,LFQ
13-8-24,21-130224 ,Planadas ,Red Bourbon ,Honey ,Honey ,3,16.67,2.5,Filtrados ,170°/190°,8:09,,LFQ
13-8-24,23-150724,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrados ,175°/191°,8:21,,LFQ
